timestamp,open,high,low,close,volume
2024-01-26 00:00:00+00:00,2217.89,2237.99,2210.02,2222.45,61032.2
2024-01-26 04:00:00+00:00,2222.45,2228.81,2194.28,2196.26,61172.42
2024-01-26 08:00:00+00:00,2196.26,2259.89,2194.54,2253.12,193470.77
2024-01-26 12:00:00+00:00,2253.12,2264.95,2233.31,2256.95,153477.55
2024-01-26 16:00:00+00:00,2256.95,2281.86,2249.18,2257.3,202866.58
2024-01-26 20:00:00+00:00,2257.3,2271.22,2251.1,2267.08,76643.46
2024-01-27 00:00:00+00:00,2267.08,2282.86,2264.78,2273.63,47951.15
2024-01-27 04:00:00+00:00,2273.63,2276.51,2252.09,2257.96,45277.67
2024-01-27 08:00:00+00:00,2257.96,2270.97,2250.1,2265.43,60340.9
2024-01-27 12:00:00+00:00,2265.43,2274.08,2261.44,2269.37,32406.61
2024-01-27 16:00:00+00:00,2269.37,2277.18,2260.24,2271.78,44218.37
2024-01-27 20:00:00+00:00,2271.78,2275.0,2260.02,2266.88,53836.58
2024-01-28 00:00:00+00:00,2266.88,2288.0,2261.98,2285.64,59512.08
2024-01-28 04:00:00+00:00,2285.64,2307.48,2279.83,2281.42,91241.71
2024-01-28 08:00:00+00:00,2281.42,2300.81,2275.11,2279.88,60657.5
2024-01-28 12:00:00+00:00,2279.88,2284.99,2260.23,2268.7,93102.71
2024-01-28 16:00:00+00:00,2268.7,2274.92,2245.02,2252.77,78744.05
2024-01-28 20:00:00+00:00,2252.77,2265.74,2236.32,2255.56,50042.48
2024-01-29 00:00:00+00:00,2255.56,2276.96,2249.13,2270.74,40853.34
2024-01-29 04:00:00+00:00,2270.74,2272.89,2256.85,2258.12,32487.96
2024-01-29 08:00:00+00:00,2258.12,2276.38,2252.43,2263.52,50477.21
2024-01-29 12:00:00+00:00,2263.52,2275.0,2231.47,2274.67,140258.74
2024-01-29 16:00:00+00:00,2274.67,2314.22,2263.75,2292.52,200713.82
2024-01-29 20:00:00+00:00,2292.52,2322.78,2291.2,2316.7,63519.48
2024-01-30 00:00:00+00:00,2316.7,2327.29,2302.69,2310.12,63228.4
2024-01-30 04:00:00+00:00,2310.12,2313.44,2299.14,2307.93,51747.74
2024-01-30 08:00:00+00:00,2307.93,2316.82,2301.46,2312.84,42385.19
2024-01-30 12:00:00+00:00,2312.84,2347.93,2292.82,2340.24,198771.2
2024-01-30 16:00:00+00:00,2340.24,2380.84,2335.0,2374.17,203907.02
2024-01-30 20:00:00+00:00,2374.17,2392.1,2335.59,2341.66,117479.18
2024-01-31 00:00:00+00:00,2341.66,2351.06,2325.6,2342.22,94799.04
2024-01-31 04:00:00+00:00,2342.22,2344.0,2328.5,2340.01,42510.34
2024-01-31 08:00:00+00:00,2340.01,2343.37,2278.44,2298.34,160887.6
2024-01-31 12:00:00+00:00,2298.34,2332.87,2290.04,2328.16,145347.08
2024-01-31 16:00:00+00:00,2328.16,2349.67,2307.0,2322.35,149752.39
2024-01-31 20:00:00+00:00,2322.35,2323.8,2261.0,2281.8,145371.43
2024-02-01 00:00:00+00:00,2281.8,2288.55,2236.64,2256.04,120743.41
2024-02-01 04:00:00+00:00,2256.04,2276.79,2250.6,2270.88,45360.83
2024-02-01 08:00:00+00:00,2270.88,2277.32,2264.01,2265.11,38901.23
2024-02-01 12:00:00+00:00,2265.11,2307.89,2261.87,2287.51,124265.84
2024-02-01 16:00:00+00:00,2287.51,2311.96,2266.26,2303.45,115234.25
2024-02-01 20:00:00+00:00,2303.45,2308.61,2285.01,2302.58,41588.48
2024-02-02 00:00:00+00:00,2302.58,2319.99,2297.1,2300.21,55484.68
2024-02-02 04:00:00+00:00,2300.21,2318.86,2295.08,2312.11,40136.14
2024-02-02 08:00:00+00:00,2312.11,2318.46,2303.4,2317.03,42573.85
2024-02-02 12:00:00+00:00,2317.03,2324.22,2280.73,2313.09,151030.5
2024-02-02 16:00:00+00:00,2313.09,2323.0,2284.47,2299.99,108059.52
2024-02-02 20:00:00+00:00,2299.99,2308.94,2293.54,2307.85,28866.15
2024-02-03 00:00:00+00:00,2307.85,2329.0,2305.73,2320.18,56224.14
2024-02-03 04:00:00+00:00,2320.18,2324.23,2312.2,2312.81,25696.38
2024-02-03 08:00:00+00:00,2312.81,2314.94,2298.0,2301.88,38601.99
2024-02-03 12:00:00+00:00,2301.88,2308.4,2290.58,2302.43,43123.48
2024-02-03 16:00:00+00:00,2302.43,2312.75,2295.21,2302.54,39670.13
2024-02-03 20:00:00+00:00,2302.54,2304.99,2292.2,2295.14,16091.87
2024-02-04 00:00:00+00:00,2295.14,2305.6,2288.52,2301.9,19290.19
2024-02-04 04:00:00+00:00,2301.9,2303.24,2284.71,2289.17,33146.56
2024-02-04 08:00:00+00:00,2289.17,2308.77,2285.05,2304.09,37851.04
2024-02-04 12:00:00+00:00,2304.09,2308.79,2296.06,2300.75,27188.66
2024-02-04 16:00:00+00:00,2300.75,2307.83,2263.6,2278.37,84658.69
2024-02-04 20:00:00+00:00,2278.37,2310.57,2272.39,2288.1,89854.41
2024-02-05 00:00:00+00:00,2288.1,2297.57,2266.84,2295.17,50961.9
2024-02-05 04:00:00+00:00,2295.17,2311.99,2288.54,2309.94,51491.12
2024-02-05 08:00:00+00:00,2309.94,2332.68,2309.93,2328.53,81575.28
2024-02-05 12:00:00+00:00,2328.53,2337.8,2291.34,2296.54,105678.04
2024-02-05 16:00:00+00:00,2296.54,2311.42,2288.55,2303.43,67588.73
2024-02-05 20:00:00+00:00,2303.43,2304.99,2281.45,2300.26,53232.4
2024-02-06 00:00:00+00:00,2300.26,2328.47,2297.65,2315.85,58322.98
2024-02-06 04:00:00+00:00,2315.85,2326.61,2307.23,2325.61,48285.62
2024-02-06 08:00:00+00:00,2325.61,2343.98,2315.83,2324.43,116470.36
2024-02-06 12:00:00+00:00,2324.43,2348.83,2311.25,2342.69,134787.67
2024-02-06 16:00:00+00:00,2342.69,2379.84,2339.98,2377.92,127923.48
2024-02-06 20:00:00+00:00,2377.92,2392.0,2370.36,2371.36,93291.36
2024-02-07 00:00:00+00:00,2371.36,2389.45,2361.4,2363.09,66407.24
2024-02-07 04:00:00+00:00,2363.09,2367.17,2353.0,2360.93,56685.2
2024-02-07 08:00:00+00:00,2360.93,2376.94,2352.1,2360.8,76044.77
2024-02-07 12:00:00+00:00,2360.8,2384.99,2359.61,2368.42,108652.83
2024-02-07 16:00:00+00:00,2368.42,2424.99,2367.14,2418.27,226119.47
2024-02-07 20:00:00+00:00,2418.27,2444.16,2418.24,2423.57,102902.99
