group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
catalog,DOGEUSDT,60,ADX14_DI_20,none,0,0.03,941,-402.186253,-276.740448,125.445804,27.55,392,109,80.5469,97.813747,False,0.32
catalog,DOGEUSDT,60,ADX14_DI_20,none,50,0.03,941,-401.229742,-215.90061,185.329132,28.67,579,76,80.3567,98.770258,False,0.33
catalog,DOGEUSDT,60,ADX14_DI_20,one_shot,0,0.03,941,-400.683338,-220.196459,180.486879,25.53,564,60,80.248,99.316662,False,0.3
catalog,DOGEUSDT,60,ADX14_DI_20,one_shot,50,0.03,941,-400.352621,-230.119945,170.232676,24.06,532,53,80.1822,99.647379,False,0.24
catalog,DOGEUSDT,60,STOCH14_cross,none,0,0.03,3983,-400.023051,-222.689845,177.333206,16.79,554,48,80.0438,99.976949,False,0.41
catalog,DOGEUSDT,60,STOCH14_cross,none,50,0.03,3983,-401.23989,-175.311675,225.928214,19.41,706,28,80.2867,98.76011,False,0.37
catalog,DOGEUSDT,60,STOCH14_cross,one_shot,0,0.03,3983,-402.344455,-205.806338,196.538117,20.52,614,45,80.5072,97.655545,False,0.29
catalog,DOGEUSDT,60,STOCH14_cross,one_shot,50,0.03,3983,-400.052362,-153.650263,246.402099,20.91,770,24,80.0511,99.947638,False,0.31
catalog,DOGEUSDT,60,TS_13_34_200_14,none,0,0.03,626,-400.909027,-295.725765,105.183262,31.91,329,132,80.2746,99.090973,False,0.35
catalog,DOGEUSDT,60,TS_13_34_200_14,none,50,0.03,626,-299.566535,-209.29294,90.273595,37.94,282,113,60.101,200.433465,True,0.31
catalog,DOGEUSDT,60,TS_13_34_200_14,one_shot,0,0.03,626,-401.408142,-293.628705,107.779437,32.94,337,133,80.374,98.591858,False,0.21
catalog,DOGEUSDT,60,TS_13_34_200_14,one_shot,50,0.03,626,-217.24172,-153.276998,63.964722,34.5,200,75,43.8806,282.75828,True,0.26
