group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,BTCUSDT,240,LORENTZIAN_raw,one_shot,0,0.03,228,-195.757598,-127.601352,68.156246,28.64,213,38,39.9541,304.242402,True,0.08
lorentzian,BTCUSDT,240,LORENTZIAN_raw,one_shot,50,0.03,228,-99.417811,-63.89247,35.525342,31.53,111,19,20.786,400.582189,True,0.09
lorentzian,BTCUSDT,60,LORENTZIAN_default,none,0,0.03,279,-335.315875,-182.873754,152.442121,33.4,476,73,67.4758,164.684125,True,0.24
lorentzian,BTCUSDT,60,LORENTZIAN_default,none,50,0.03,279,-204.699593,-89.745807,114.953786,34.26,359,33,42.0695,295.300407,True,0.24
lorentzian,BTCUSDT,60,LORENTZIAN_default,one_shot,0,0.03,279,-182.018172,-92.733398,89.284775,34.05,279,33,37.0703,317.981828,True,0.22
lorentzian,BTCUSDT,60,LORENTZIAN_default,one_shot,50,0.03,279,-146.56077,-71.697377,74.863392,34.62,234,23,29.7388,353.43923,True,0.18
lorentzian,BTCUSDT,60,LORENTZIAN_raw,none,0,0.03,954,-400.344591,-151.569394,248.775197,25.1,777,40,80.1522,99.655409,False,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_raw,none,50,0.03,954,-364.677677,-89.386308,275.29137,26.05,860,28,73.0486,135.322323,True,0.31
lorentzian,BTCUSDT,60,LORENTZIAN_raw,one_shot,0,0.03,954,-400.389783,-121.613525,278.776258,24.0,871,25,80.1612,99.610217,False,0.23
lorentzian,BTCUSDT,60,LORENTZIAN_raw,one_shot,50,0.03,954,-324.121052,-73.207558,250.913494,24.87,784,19,65.3747,175.878948,True,0.24
lorentzian,XRPUSDT,240,LORENTZIAN_default,none,0,0.03,62,-403.273764,-303.103547,100.170216,26.2,313,130,80.8812,96.726236,False,0.07
lorentzian,XRPUSDT,240,LORENTZIAN_default,none,50,0.03,62,-110.439252,-83.871041,26.568211,26.51,83,34,22.7342,389.560748,True,0.06
lorentzian,XRPUSDT,240,LORENTZIAN_default,one_shot,0,0.03,62,-78.621958,-58.752295,19.869663,24.19,62,24,15.9299,421.378042,True,0.14
lorentzian,XRPUSDT,240,LORENTZIAN_default,one_shot,50,0.03,62,-50.983137,-38.781307,12.20183,18.42,38,15,10.4156,449.016863,True,0.07
lorentzian,XRPUSDT,240,LORENTZIAN_raw,none,0,0.03,210,-401.836653,-280.909407,120.927247,27.25,378,115,80.3673,98.163347,False,0.1
lorentzian,XRPUSDT,240,LORENTZIAN_raw,none,50,0.03,210,-140.842225,-97.344999,43.497225,22.06,136,33,28.1684,359.157775,True,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_raw,one_shot,0,0.03,210,-189.65018,-125.961407,63.688773,26.13,199,45,37.93,310.34982,True,0.14
lorentzian,XRPUSDT,240,LORENTZIAN_raw,one_shot,50,0.03,210,-100.474461,-69.448141,31.02632,25.77,97,23,20.1019,399.525539,True,0.06
lorentzian,XRPUSDT,60,LORENTZIAN_default,none,0,0.03,275,-400.652581,-286.370911,114.28167,31.93,357,109,80.2357,99.347419,False,0.26
lorentzian,XRPUSDT,60,LORENTZIAN_default,none,50,0.03,275,-315.782398,-204.341371,111.441027,34.48,348,84,63.6654,184.217602,True,0.19
lorentzian,XRPUSDT,60,LORENTZIAN_default,one_shot,0,0.03,275,-254.459128,-166.482691,87.976437,36.0,275,60,52.2329,245.540872,True,0.26
lorentzian,XRPUSDT,60,LORENTZIAN_default,one_shot,50,0.03,275,-175.189929,-112.132064,63.057864,35.53,197,39,36.1949,324.810071,True,0.18
lorentzian,XRPUSDT,60,LORENTZIAN_raw,none,0,0.03,1031,-401.977614,-240.997729,160.979885,20.68,503,48,80.4465,98.022386,False,0.27
lorentzian,XRPUSDT,60,LORENTZIAN_raw,none,50,0.03,1031,-400.250393,-199.310345,200.940048,21.97,628,33,80.102,99.749607,False,0.26
lorentzian,XRPUSDT,60,LORENTZIAN_raw,one_shot,0,0.03,1031,-400.039864,-207.156452,192.883412,22.39,603,36,80.06,99.960136,False,0.26
lorentzian,XRPUSDT,60,LORENTZIAN_raw,one_shot,50,0.03,1031,-401.484362,-198.005012,203.479351,21.7,636,30,80.3481,98.515638,False,0.2
lorentzian,DOGEUSDT,240,LORENTZIAN_default,none,0,0.03,64,-401.299346,-314.89956,86.399786,15.93,270,117,80.2599,98.700654,False,0.19
lorentzian,DOGEUSDT,240,LORENTZIAN_default,none,50,0.03,64,-117.744442,-91.164466,26.579976,25.3,83,38,23.5489,382.255558,True,0.06
lorentzian,DOGEUSDT,240,LORENTZIAN_default,one_shot,0,0.03,64,-77.028875,-56.552608,20.476267,29.69,64,25,15.4058,422.971125,True,0.08
lorentzian,DOGEUSDT,240,LORENTZIAN_default,one_shot,50,0.03,64,-40.686153,-27.268068,13.418085,30.95,42,14,8.1372,459.313847,True,0.1
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,none,0,0.03,208,-400.599583,-304.250082,96.3495,17.94,301,115,80.1254,99.400417,False,0.08
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,none,50,0.03,208,-154.357907,-114.026556,40.331351,19.05,126,39,30.8907,345.642093,True,0.09
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,one_shot,0,0.03,208,-262.240129,-196.606297,65.633832,26.83,205,74,52.4611,237.759871,True,0.06
lorentzian,DOGEUSDT,240,LORENTZIAN_raw,one_shot,50,0.03,208,-96.020156,-71.671743,24.348412,26.32,76,28,19.2263,403.979844,True,0.08
lorentzian,DOGEUSDT,60,LORENTZIAN_default,none,0,0.03,301,-400.922522,-301.09498,99.827542,30.45,312,127,80.1845,99.077478,False,0.29
lorentzian,DOGEUSDT,60,LORENTZIAN_default,none,50,0.03,301,-372.955606,-267.969921,104.985685,31.71,328,116,74.5911,127.044394,True,0.19
lorentzian,DOGEUSDT,60,LORENTZIAN_default,one_shot,0,0.03,301,-327.293101,-230.957756,96.335345,35.88,301,106,66.6211,172.706899,True,0.16
lorentzian,DOGEUSDT,60,LORENTZIAN_default,one_shot,50,0.03,301,-195.685184,-136.146618,59.538566,34.41,186,61,39.8494,304.314816,True,0.29
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,none,0,0.03,821,-400.983213,-277.126057,123.857157,28.42,387,115,80.3338,99.016787,False,0.24
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,none,50,0.03,821,-400.060028,-232.986965,167.073063,29.69,522,79,80.1505,99.939972,False,0.23
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,one_shot,0,0.03,821,-400.750348,-223.473885,177.276463,30.32,554,78,80.2876,99.249652,False,0.2
lorentzian,DOGEUSDT,60,LORENTZIAN_raw,one_shot,50,0.03,821,-359.133236,-207.102464,152.030772,28.0,475,67,72.0218,140.866764,True,0.27
