symbol,interval,strategy,max_drawdown_pct_full_run
SOLUSDT,60,BB_20_2_RSI7_50,83.079
SOLUSDT,60,BB_20_2_SQ,85.8635
SOLUSDT,60,BB_20_2_VOL12,87.0915
SOLUSDT,60,BB_20_2_breakout,86.8125
SOLUSDT,60,BB_20_2_mid,81.3009
SOLUSDT,60,BB_20_2_revert,83.2331
SOLUSDT,60,EMA3_13_34_100,83.9222
SOLUSDT,60,EMA3_13_50_200,82.7268
SOLUSDT,60,EMA3_21_50_200,86.1325
SOLUSDT,60,EMA3_8_21_100,85.3479
SOLUSDT,60,EMA3_8_21_50,86.105
SOLUSDT,60,EMA3_8_34_100,86.7958
SOLUSDT,60,EMA_13_34,84.2703
SOLUSDT,60,EMA_13_34_RSI14_55,85.1571
SOLUSDT,60,EMA_13_34_RSI7_55,85.9811
SOLUSDT,60,EMA_13_34_VOL12,85.2086
SOLUSDT,60,EMA_13_50,82.1666
SOLUSDT,60,EMA_21_100,85.9688
SOLUSDT,60,EMA_21_50,84.6137
SOLUSDT,60,EMA_21_50_RSI14_55,84.1161
SOLUSDT,60,EMA_34_100,82.3636
SOLUSDT,60,EMA_50_200,84.3987
SOLUSDT,60,EMA_8_21,82.0069
SOLUSDT,60,EMA_8_21_RSI14_55,82.3014
SOLUSDT,60,EMA_8_21_RSI14_60,82.1715
SOLUSDT,60,EMA_8_21_VOL12,81.6483
SOLUSDT,60,EMA_8_21_VOL15,83.1481
SOLUSDT,60,EMA_8_34,84.2619
SOLUSDT,60,EMA_8_34_RSI14_60,85.5866
SOLUSDT,60,EMA_BB_ADX_13_34,81.2936
SOLUSDT,60,EMA_BB_ADX_8_21,82.0898
SOLUSDT,60,MACD_12_26_hist,82.1588
SOLUSDT,60,MACD_12_26_sig,82.1588
SOLUSDT,60,MACD_8_21_hist,81.8406
SOLUSDT,60,MACD_8_21_sig,81.8406
SOLUSDT,60,MACD_RSI14_50,81.5519
SOLUSDT,60,MACD_RSI14_55,85.7222
SOLUSDT,60,MACD_RSI7_50,82.1864
SOLUSDT,60,MACD_RSI7_55,84.7763
SOLUSDT,60,RSI14_6535,84.0936
