symbol,interval,strategy,activate_pct,trail_pct,no_trail,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
BTCUSDT,60,DONCHIAN_55,10.0,,True,0.03,0,one_shot,76,14.690185,39.065891,24.375707,34.21,76,26,50,154.159565,-139.46938,5.929214,-2.789388,31.9935,90.54,33,0,42,1,6.7252,514.690185,True,0.22
XRPUSDT,240,ADX14_DI_25,10.0,,True,0.03,0,one_shot,183,22.586426,74.654677,52.068251,23.46,162,38,124,342.808416,-320.22199,9.021274,-2.582435,22.2553,11.19,77,0,84,1,24.8758,522.586426,True,0.11
XRPUSDT,240,ADX14_EMA13_34,10.0,,True,0.03,0,one_shot,110,215.135961,240.563979,25.428018,16.67,78,13,65,381.792232,-166.656271,29.368633,-2.563943,8.0292,23.37,44,0,34,0,17.1611,715.135961,True,0.08
XRPUSDT,240,ADX14_EMA21_50,10.0,,True,0.03,0,one_shot,97,238.12465,257.783784,19.659134,13.33,60,8,52,381.218331,-143.093681,47.652291,-2.751802,5.4595,30.45,39,0,20,1,17.7224,738.12465,True,0.09
XRPUSDT,240,ADX14_EMA8_21,10.0,,True,0.03,0,one_shot,122,93.592219,124.931689,31.33947,22.68,97,22,75,295.312007,-201.719788,13.423273,-2.689597,16.6922,19.27,48,0,49,0,15.949,593.592219,True,0.11
XRPUSDT,240,BB_10_2_RSI14,10.0,,True,0.03,0,one_shot,147,121.678024,149.869083,28.191058,21.84,87,19,68,334.379409,-212.701385,17.598916,-3.127962,15.0913,18.38,59,0,27,1,17.6191,621.678024,True,0.09
XRPUSDT,240,BB_10_2_breakout,10.0,,True,0.03,0,one_shot,154,85.336089,115.080694,29.744605,20.65,92,19,73,305.837753,-220.501665,16.096724,-3.020571,15.8002,17.76,60,0,31,1,17.1812,585.336089,True,0.08
XRPUSDT,240,BB_20_25_ADX20,10.0,,True,0.03,0,one_shot,71,221.201746,236.68537,15.483624,12.77,47,6,41,346.296659,-125.094913,57.71611,-3.051095,5.021,31.11,35,0,11,1,18.1838,721.201746,True,0.09
XRPUSDT,240,BB_20_25_ADX25,10.0,,True,0.03,0,one_shot,65,212.844389,227.370117,14.525728,9.09,44,4,40,337.24573,-124.401341,84.311432,-3.110034,3.5575,31.45,35,0,8,1,17.93,712.844389,True,0.08
XRPUSDT,240,BB_20_25_EMA100,10.0,,True,0.03,0,one_shot,70,190.993735,204.481276,13.487541,12.2,41,5,36,297.789834,-106.7961,59.557967,-2.966558,4.7446,37.12,29,0,11,1,21.8733,690.993735,True,0.09
XRPUSDT,240,BB_20_25_EMA200,10.0,,True,0.03,0,one_shot,61,227.554672,237.235507,9.680835,17.24,29,5,24,300.712977,-73.158305,60.142595,-3.048263,4.8239,55.07,21,0,7,1,20.6602,727.554672,True,0.09
XRPUSDT,240,BB_20_25_EMA50,10.0,,True,0.03,0,one_shot,73,224.526246,239.68537,15.159124,13.04,46,6,40,346.296659,-121.770413,57.71611,-3.04426,5.0103,31.85,34,0,11,1,18.1838,724.526246,True,0.09
XRPUSDT,240,BB_20_25_MACD,10.0,,True,0.03,0,one_shot,74,221.201746,236.68537,15.483624,12.77,47,6,41,346.296659,-125.094913,57.71611,-3.051095,5.021,31.17,35,0,11,1,18.1838,721.201746,True,0.09
