group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,ETHUSDT,240,LORENTZIAN_default,20,0.03,-206.662953,-161.208274,45.454679,26.06,142,66,42.0489,293.337047,True,0.07
lorentzian,ETHUSDT,240,LORENTZIAN_default,50,0.03,-113.102521,-89.399301,23.70322,27.03,74,34,23.3952,386.897479,True,0.08
lorentzian,ETHUSDT,240,LORENTZIAN_raw,0,0.03,-402.609479,-275.738614,126.870865,26.77,396,106,80.6136,97.390521,False,0.1
lorentzian,ETHUSDT,240,LORENTZIAN_raw,5,0.03,-400.0882,-279.598154,120.490046,26.33,376,108,80.0746,99.9118,False,0.1
lorentzian,ETHUSDT,240,LORENTZIAN_raw,10,0.03,-337.964263,-232.569246,105.395017,27.36,329,83,67.8045,162.035737,True,0.1
lorentzian,ETHUSDT,240,LORENTZIAN_raw,20,0.03,-248.612795,-173.954269,74.658526,27.04,233,66,50.1679,251.387205,True,0.11
lorentzian,ETHUSDT,240,LORENTZIAN_raw,50,0.03,-142.636537,-106.738574,35.897963,25.89,112,37,28.5273,357.363463,True,0.11
lorentzian,ETHUSDT,60,LORENTZIAN_default,0,0.03,-402.357834,-255.024642,147.333192,34.78,460,98,80.671,97.642166,False,7.44
lorentzian,ETHUSDT,60,LORENTZIAN_default,5,0.03,-400.940488,-244.315739,156.62475,34.56,489,96,80.3904,99.059512,False,0.25
lorentzian,ETHUSDT,60,LORENTZIAN_default,10,0.03,-401.604916,-244.023116,157.5818,34.35,492,95,80.5219,98.395084,False,0.26
lorentzian,ETHUSDT,60,LORENTZIAN_default,20,0.03,-362.908448,-210.136496,152.771952,35.64,477,91,72.8616,137.091552,True,0.28
lorentzian,ETHUSDT,60,LORENTZIAN_default,50,0.03,-293.027506,-177.6868,115.340706,33.33,360,69,59.2125,206.972494,True,0.29
lorentzian,ETHUSDT,60,LORENTZIAN_raw,0,0.03,-400.010404,-172.378877,227.631526,27.85,711,50,80.0802,99.989596,False,0.32
lorentzian,ETHUSDT,60,LORENTZIAN_raw,5,0.03,-400.102776,-168.002419,232.100357,25.93,725,39,80.0986,99.897224,False,0.66
lorentzian,ETHUSDT,60,LORENTZIAN_raw,10,0.03,-401.405021,-157.758816,243.646205,27.07,761,39,80.358,98.594979,False,0.25
lorentzian,ETHUSDT,60,LORENTZIAN_raw,20,0.03,-401.724694,-162.253951,239.470742,26.74,748,36,80.4217,98.275306,False,0.34
lorentzian,ETHUSDT,60,LORENTZIAN_raw,50,0.03,-400.788254,-166.114358,234.673896,24.97,733,35,80.2351,99.211746,False,0.25
lorentzian,BTCUSDT,240,LORENTZIAN_default,0,0.03,-301.675963,-209.348848,92.327115,36.46,288,110,60.5754,198.324037,True,1.01
lorentzian,BTCUSDT,240,LORENTZIAN_default,5,0.03,-222.83277,-155.153246,67.679524,35.55,211,80,44.8888,277.16723,True,0.09
lorentzian,BTCUSDT,240,LORENTZIAN_default,10,0.03,-146.215281,-86.64203,59.573251,41.4,186,59,29.6543,353.784719,True,0.14
lorentzian,BTCUSDT,240,LORENTZIAN_default,20,0.03,-161.855079,-116.645249,45.20983,36.17,141,52,32.7641,338.144921,True,0.12
lorentzian,BTCUSDT,240,LORENTZIAN_default,50,0.03,-79.774399,-52.204035,27.570364,40.7,86,29,16.4434,420.225601,True,0.11
lorentzian,BTCUSDT,240,LORENTZIAN_raw,0,0.03,-400.620171,-277.261426,123.358745,27.79,385,92,80.2863,99.379829,False,0.14
lorentzian,BTCUSDT,240,LORENTZIAN_raw,5,0.03,-315.579349,-213.692899,101.886451,27.67,318,71,63.4169,184.420651,True,0.12
lorentzian,BTCUSDT,240,LORENTZIAN_raw,10,0.03,-263.035208,-175.900358,87.134849,28.31,272,59,52.9938,236.964792,True,0.13
lorentzian,BTCUSDT,240,LORENTZIAN_raw,20,0.03,-207.767213,-136.963942,70.803271,28.96,221,46,42.0305,292.232787,True,0.09
lorentzian,BTCUSDT,240,LORENTZIAN_raw,50,0.03,-126.772304,-81.601938,45.170365,30.5,141,30,25.9637,373.227696,True,0.08
