group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,BTCUSDT,240,LORENTZIAN_default,5,0.03,-222.83277,-155.153246,67.679524,35.55,211,80,44.8888,277.16723,True,0.09
lorentzian,BTCUSDT,240,LORENTZIAN_default,10,0.03,-146.215281,-86.64203,59.573251,41.4,186,59,29.6543,353.784719,True,0.14
lorentzian,BTCUSDT,240,LORENTZIAN_default,20,0.03,-161.855079,-116.645249,45.20983,36.17,141,52,32.7641,338.144921,True,0.12
lorentzian,BTCUSDT,240,LORENTZIAN_default,50,0.03,-79.774399,-52.204035,27.570364,40.7,86,29,16.4434,420.225601,True,0.11
lorentzian,BTCUSDT,240,LORENTZIAN_raw,0,0.03,-400.620171,-277.261426,123.358745,27.79,385,92,80.2863,99.379829,False,0.14
lorentzian,BTCUSDT,240,LORENTZIAN_raw,5,0.03,-315.579349,-213.692899,101.886451,27.67,318,71,63.4169,184.420651,True,0.12
lorentzian,BTCUSDT,240,LORENTZIAN_raw,10,0.03,-263.035208,-175.900358,87.134849,28.31,272,59,52.9938,236.964792,True,0.13
lorentzian,BTCUSDT,240,LORENTZIAN_raw,20,0.03,-207.767213,-136.963942,70.803271,28.96,221,46,42.0305,292.232787,True,0.09
lorentzian,BTCUSDT,240,LORENTZIAN_raw,50,0.03,-126.772304,-81.601938,45.170365,30.5,141,30,25.9637,373.227696,True,0.08
lorentzian,BTCUSDT,60,LORENTZIAN_default,0,0.03,-335.315875,-182.873754,152.442121,33.4,476,73,67.4758,164.684125,True,5.9
lorentzian,BTCUSDT,60,LORENTZIAN_default,5,0.03,-283.177991,-143.873188,139.304803,34.25,435,58,57.2263,216.822009,True,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_default,10,0.03,-270.422025,-133.69432,136.727705,34.19,427,51,55.21,229.577975,True,0.24
lorentzian,BTCUSDT,60,LORENTZIAN_default,20,0.03,-240.220443,-110.864851,129.355592,34.16,404,43,48.8436,259.779557,True,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_default,50,0.03,-204.699593,-89.745807,114.953786,34.26,359,33,42.0695,295.300407,True,0.17
lorentzian,BTCUSDT,60,LORENTZIAN_raw,0,0.03,-400.344591,-151.569394,248.775197,25.1,777,40,80.1522,99.655409,False,0.26
lorentzian,BTCUSDT,60,LORENTZIAN_raw,5,0.03,-400.773051,-133.132226,267.640825,24.88,836,33,80.2407,99.226949,False,0.31
lorentzian,BTCUSDT,60,LORENTZIAN_raw,10,0.03,-400.322797,-117.962933,282.359864,25.06,882,32,80.1478,99.677203,False,0.2
lorentzian,BTCUSDT,60,LORENTZIAN_raw,20,0.03,-400.324608,-115.097636,285.226973,25.14,891,32,80.1482,99.675392,False,0.27
lorentzian,BTCUSDT,60,LORENTZIAN_raw,50,0.03,-364.677677,-89.386308,275.29137,26.05,860,28,73.0486,135.322323,True,0.28
lorentzian,XRPUSDT,240,LORENTZIAN_default,0,0.03,-403.273764,-303.103547,100.170216,26.2,313,130,80.8812,96.726236,False,0.93
lorentzian,XRPUSDT,240,LORENTZIAN_default,5,0.03,-402.065757,-320.178654,81.887104,18.75,256,123,80.5756,97.934243,False,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_default,10,0.03,-355.115568,-281.861441,73.254127,20.52,229,102,71.2635,144.884432,True,0.1
lorentzian,XRPUSDT,240,LORENTZIAN_default,20,0.03,-227.997296,-176.143555,51.853742,20.99,162,67,46.0508,272.002704,True,0.12
lorentzian,XRPUSDT,240,LORENTZIAN_default,50,0.03,-110.439252,-83.871041,26.568211,26.51,83,34,22.7342,389.560748,True,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_raw,0,0.03,-401.836653,-280.909407,120.927247,27.25,378,115,80.3673,98.163347,False,0.17
lorentzian,XRPUSDT,240,LORENTZIAN_raw,5,0.03,-401.959883,-293.24489,108.714993,22.06,340,108,80.392,98.040117,False,0.12
lorentzian,XRPUSDT,240,LORENTZIAN_raw,10,0.03,-366.56099,-264.21025,102.35074,22.19,320,96,73.3122,133.43901,True,0.08
lorentzian,XRPUSDT,240,LORENTZIAN_raw,20,0.03,-233.664359,-165.855612,67.808747,24.06,212,66,46.7329,266.335641,True,0.09
lorentzian,XRPUSDT,240,LORENTZIAN_raw,50,0.03,-140.842225,-97.344999,43.497225,22.06,136,33,28.1684,359.157775,True,0.07
lorentzian,XRPUSDT,60,LORENTZIAN_default,0,0.03,-400.652581,-286.370911,114.28167,31.93,357,109,80.2357,99.347419,False,4.81
lorentzian,XRPUSDT,60,LORENTZIAN_default,5,0.03,-402.954672,-271.019056,131.935616,33.74,412,102,80.6937,97.045328,False,0.31
lorentzian,XRPUSDT,60,LORENTZIAN_default,10,0.03,-400.841601,-268.947107,131.894494,33.01,412,105,80.2734,99.158399,False,0.22
lorentzian,XRPUSDT,60,LORENTZIAN_default,20,0.03,-401.278286,-267.161828,134.116459,34.61,419,110,80.3602,98.721714,False,0.27
lorentzian,XRPUSDT,60,LORENTZIAN_default,50,0.03,-315.782398,-204.341371,111.441027,34.48,348,84,63.6654,184.217602,True,0.21
lorentzian,XRPUSDT,60,LORENTZIAN_raw,0,0.03,-401.977614,-240.997729,160.979885,20.68,503,48,80.4465,98.022386,False,0.28
lorentzian,XRPUSDT,60,LORENTZIAN_raw,5,0.03,-400.316556,-217.597378,182.719178,24.17,571,52,80.1152,99.683444,False,0.33
lorentzian,XRPUSDT,60,LORENTZIAN_raw,10,0.03,-400.397226,-216.719629,183.677597,23.69,574,50,80.1313,99.602774,False,0.27
lorentzian,XRPUSDT,60,LORENTZIAN_raw,20,0.03,-400.273041,-205.092827,195.180213,23.61,610,43,80.1065,99.726959,False,0.34
lorentzian,XRPUSDT,60,LORENTZIAN_raw,50,0.03,-400.250393,-199.310345,200.940048,21.97,628,33,80.102,99.749607,False,0.28
lorentzian,DOGEUSDT,240,LORENTZIAN_default,0,0.03,-401.299346,-314.89956,86.399786,15.93,270,117,80.2599,98.700654,False,1.1
lorentzian,DOGEUSDT,240,LORENTZIAN_default,5,0.03,-400.592641,-314.82481,85.767831,19.4,268,121,80.1185,99.407359,False,0.11
