arm,symbol,interval,strategy,take_profit_multiple,n_trades,train1_net_pnl,warmup_net_pnl,boundary_net_pnl,full_run_max_drawdown_pct,full_run_final_equity,n_valid_months,n_neg_months,all_valid_months_nonnegative,promotion_pass,promotion_pass_genuine,degenerate_pass,win_rate,avg_win,avg_loss,seconds
gated,BTCUSDT,60,DONCHIAN_PULLBACK_55,2.0,59,40.276474,0.124867,-0.550371,3.5303,539.850971,12,6,False,False,False,False,42.3729,5.382814,-2.785864,0.25
baseline,XRPUSDT,240,DONCHIAN_55,,24,225.093446,-3.3155,0.0,20.2287,721.777946,12,8,False,False,False,False,12.5,96.328882,-3.200414,0.11
gated,XRPUSDT,240,DONCHIAN_55,2.0,24,-13.324,5.671,0.0,4.3843,492.347,12,6,False,False,False,False,33.3333,5.68225,-3.319437,0.09
baseline,XRPUSDT,240,BB_20_25_breakout,,47,223.309155,-2.107409,0.0,18.1838,721.201746,12,6,False,False,False,False,12.766,57.71611,-3.051095,0.09
gated,XRPUSDT,240,BB_20_25_breakout,2.0,65,27.844949,1.4045,0.0,6.81,529.249449,12,5,False,False,False,False,41.5385,5.679,-3.265357,0.11
baseline,XRPUSDT,240,DONCHIAN_PULLBACK_55,,21,-11.237264,-3.3155,0.0,12.1327,485.447236,12,7,False,False,False,False,14.2857,15.066079,-3.3195,0.1
gated,XRPUSDT,240,DONCHIAN_PULLBACK_55,2.0,21,5.627,-3.3155,0.0,3.4361,502.3115,12,3,False,False,False,False,38.0952,5.68225,-3.318962,0.1
baseline,XRPUSDT,60,DONCHIAN_55,,76,156.512601,-17.394034,0.0,12.5312,639.118567,12,7,False,False,False,False,22.3684,18.734995,-3.040277,0.22
gated,XRPUSDT,60,DONCHIAN_55,2.0,76,-15.135667,4.596533,0.0,9.3667,489.460866,12,6,False,False,False,False,35.5263,5.276676,-3.122641,0.21
baseline,XRPUSDT,60,BB_20_25_breakout,,140,143.074097,-26.17579,-0.671173,20.8088,616.227134,12,5,False,False,False,False,22.1429,13.217375,-2.692766,0.27
gated,XRPUSDT,60,BB_20_25_breakout,2.0,192,-40.841347,-26.670352,0.0,16.9562,432.488301,12,8,False,False,False,False,30.2083,5.379642,-2.83232,0.22
baseline,XRPUSDT,60,DONCHIAN_PULLBACK_55,,58,126.440507,-16.6045,-0.671291,11.2317,609.164716,12,7,False,False,False,False,22.4138,19.311197,-3.152908,0.23
gated,XRPUSDT,60,DONCHIAN_PULLBACK_55,2.0,59,-3.967806,-16.6045,0.0,6.4696,479.427694,12,7,False,False,False,False,33.8983,5.069877,-3.127432,0.21
baseline,DOGEUSDT,240,DONCHIAN_55,,18,-22.07782,-3.3155,0.0,9.0758,474.60668,12,7,False,False,False,False,16.6667,8.13406,-3.3197,0.09
gated,DOGEUSDT,240,DONCHIAN_55,2.0,18,-2.4445,-3.3155,0.0,3.9055,494.24,12,6,False,False,False,False,33.3333,5.68,-3.32,0.11
baseline,DOGEUSDT,240,BB_20_25_breakout,,35,109.096583,22.085892,0.0,17.3456,631.182475,12,7,False,False,False,False,20.0,32.017782,-3.319357,0.15
gated,DOGEUSDT,240,BB_20_25_breakout,2.0,59,0.729,1.3955,0.0,6.0438,502.1245,12,7,False,False,False,False,37.2881,5.68,-3.319878,0.12
baseline,DOGEUSDT,240,DONCHIAN_PULLBACK_55,,14,235.661082,43.966152,0.0,21.582,779.627234,12,8,False,False,False,False,14.2857,159.738117,-3.32075,0.1
gated,DOGEUSDT,240,DONCHIAN_PULLBACK_55,2.0,14,-7.1375,5.671,0.0,4.0799,498.5335,12,7,False,False,False,False,35.7143,5.6818,-3.3195,0.09
baseline,DOGEUSDT,60,DONCHIAN_55,,69,197.914664,-6.721975,-0.736106,10.1347,690.456583,12,2,False,False,False,False,33.3333,14.665039,-3.192159,0.25
gated,DOGEUSDT,60,DONCHIAN_55,2.0,69,32.44089,-4.2935,0.0,6.4582,528.14739,12,5,False,False,False,False,40.5797,5.68,-3.192503,0.21
baseline,DOGEUSDT,60,BB_20_25_breakout,,152,-22.2282,5.626586,-0.736106,19.7827,482.66228,12,6,False,False,False,False,21.7105,10.447957,-3.043028,0.24
gated,DOGEUSDT,60,BB_20_25_breakout,2.0,211,-103.511992,-3.20452,0.0,23.6809,393.283487,12,8,False,False,False,False,30.8057,5.379196,-3.125782,0.21
baseline,DOGEUSDT,60,DONCHIAN_PULLBACK_55,,50,123.667274,42.566457,-0.849333,12.8564,665.384397,12,5,False,False,False,False,20.0,29.626296,-3.271964,0.23
gated,DOGEUSDT,60,DONCHIAN_PULLBACK_55,2.0,54,1.725,0.961438,0.0,7.5937,502.686438,12,6,False,False,False,False,37.037,5.6809,-3.262693,0.23
