year,month,valid_DOGEUSDT/60/DONCHIAN_55,pnl_DOGEUSDT/60/DONCHIAN_55,valid_ETHUSDT/60/BB_20_25_breakout,pnl_ETHUSDT/60/BB_20_25_breakout,valid_SOLUSDT/60/BB_20_25_EMA200,pnl_SOLUSDT/60/BB_20_25_EMA200,valid_BTCUSDT/240/DONCHIAN_PULLBACK_55,pnl_BTCUSDT/240/DONCHIAN_PULLBACK_55,valid_XRPUSDT/240/EMA3_21_50_200,pnl_XRPUSDT/240/EMA3_21_50_200,all_valid,n_negative_constituents,combined_net_pnl
2024,3,True,-13.279999999999973,True,-0.3418340808705125,True,4.788095912087499,True,6.956682833455261,True,8.213394741892103,True,2,6.336339406564377
2024,4,True,9.93797842182289,True,1.2065714655790885,True,12.796229688455583,True,-3.315499999999929,True,-11.543933069616116,True,2,9.081346506241516
2024,5,True,8.175887055711769,True,-8.24105594107914,True,-33.32985237143811,True,-6.639999999999986,True,-14.024844060833175,True,4,-54.05986531763864
2024,6,True,0.8354858975680486,True,-16.466029718183506,True,3.5190070708821395,True,7.068341967530728,True,8.023745691306033,True,1,2.9805509091034423
2024,7,True,-18.940722731122378,True,1.4639559722219246,True,5.491799298279886,True,-9.944880396373378,True,4.967814194271114,True,2,-16.96203366272283
2024,8,True,14.920216970377453,True,21.942417658986017,True,14.993710088716512,True,-3.3245000000000573,True,-30.44879868297278,True,2,18.083046035107145
2024,9,True,27.45933841396368,True,9.67856377180783,True,10.265166085087003,True,0.0,True,3.8095929009641054,True,0,51.21266117182262
2024,10,True,34.92653020162629,True,10.445826398138024,True,-2.884568850619189,True,1.3238911189408782,True,-9.293402987203308,True,2,34.5182758808827
2024,11,True,94.35947923549963,True,6.860164435102888,True,29.667708699956393,True,38.91147211203395,True,241.31009158757973,True,0,411.1089160701726
2024,12,True,6.110885155949177,True,7.515875377565749,True,-30.232281756822772,True,-4.395297002449183,True,23.199285075960688,True,2,2.1984668502036584
2025,1,True,2.8526952787697155,True,13.0949296911989,True,44.510212276049174,True,12.407235072709,True,170.1519213583556,True,0,243.01699367708238
2025,2,True,30.556890090659635,True,23.73666503150389,True,25.937359166607962,True,17.381782807731383,True,-94.34953365645254,True,1,3.2631634400503344
