symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived
SOLUSDT,60,MACD_RSI14_50,0.03,-402.414886,32.45,379,80.5328,97.585114,False
SOLUSDT,60,MACD_RSI14_50,0.05,-400.705661,34.43,334,80.1919,99.294339,False
SOLUSDT,60,MACD_RSI14_50,0.08,-400.018175,34.39,346,80.0547,99.981825,False
SOLUSDT,60,MACD_RSI14_50,0.12,-400.403871,34.81,339,80.1317,99.596129,False
SOLUSDT,60,BB_20_25_breakout,0.03,-243.216015,40.35,228,48.8904,256.783985,True
SOLUSDT,60,BB_20_25_breakout,0.05,-300.285615,46.36,220,60.2493,199.714385,True
SOLUSDT,60,BB_20_25_breakout,0.08,-347.028342,49.3,213,69.5529,152.971658,True
SOLUSDT,60,BB_20_25_breakout,0.12,-371.935199,50.48,210,74.5103,128.064801,True
SOLUSDT,60,BB_20_2_RSI14,0.03,-401.158161,37.98,366,80.3454,98.841839,False
SOLUSDT,60,BB_20_2_RSI14,0.05,-401.168286,46.11,334,80.3475,98.831714,False
SOLUSDT,60,BB_20_2_RSI14,0.08,-405.550242,48.76,322,81.3008,94.449758,False
SOLUSDT,60,BB_20_2_RSI14,0.12,-403.185795,50.0,314,81.0702,96.814205,False
SOLUSDT,60,ADX14_DI_20,0.03,-400.184141,27.3,370,80.0368,99.815859,False
SOLUSDT,60,ADX14_DI_20,0.05,-401.429634,27.63,333,80.2859,98.570366,False
SOLUSDT,60,ADX14_DI_20,0.08,-402.942017,28.17,323,80.5884,97.057983,False
SOLUSDT,60,ADX14_DI_20,0.12,-402.818476,28.26,322,80.5637,97.181524,False
SOLUSDT,60,STOCH14_cross,0.03,-400.558451,22.65,627,80.1692,99.441549,False
SOLUSDT,60,STOCH14_cross,0.05,-401.79712,22.68,626,80.4162,98.20288,False
SOLUSDT,60,STOCH14_cross,0.08,-401.85368,22.72,625,80.4275,98.14632,False
SOLUSDT,60,STOCH14_cross,0.12,-400.832635,22.7,630,80.2239,99.167365,False
SOLUSDT,60,TS_13_34_200_14,0.03,-400.881691,40.56,355,80.3585,99.118309,False
SOLUSDT,60,TS_13_34_200_14,0.05,-400.748174,44.78,297,80.339,99.251826,False
SOLUSDT,60,TS_13_34_200_14,0.08,-402.542583,51.93,337,80.7902,97.457417,False
SOLUSDT,60,TS_13_34_200_14,0.12,-401.324552,52.38,336,80.4532,98.675448,False
ETHUSDT,240,EMA_8_21,0.03,-401.690156,32.35,371,80.5663,98.309844,False
ETHUSDT,240,EMA_8_21,0.05,-400.348651,34.38,317,80.4583,99.651349,False
ETHUSDT,240,EMA_8_21,0.08,-400.708667,35.19,287,80.6354,99.291333,False
ETHUSDT,240,EMA_8_21,0.12,-400.153513,34.3,277,80.5271,99.846487,False
ETHUSDT,240,EMA_13_34_RSI14_55,0.03,-402.087532,33.44,323,81.0417,97.912468,False
ETHUSDT,240,EMA_13_34_RSI14_55,0.05,-402.876766,39.34,272,81.3484,97.123234,False
ETHUSDT,240,EMA_13_34_RSI14_55,0.08,-379.558735,40.17,229,77.0395,120.441265,True
ETHUSDT,240,EMA_13_34_RSI14_55,0.12,-380.559168,40.27,221,77.2302,119.440832,True
ETHUSDT,240,RSI14_7030,0.03,-332.290085,29.95,207,66.6212,167.709915,True
ETHUSDT,240,RSI14_7030,0.05,-289.103425,38.0,150,57.9932,210.896575,True
ETHUSDT,240,RSI14_7030,0.08,-286.053596,41.88,117,57.3841,213.946404,True
ETHUSDT,240,RSI14_7030,0.12,-250.036082,49.47,95,50.1907,249.963918,True
ETHUSDT,240,MACD_12_26_hist,0.03,-402.759326,27.89,380,80.5519,97.240674,False
ETHUSDT,240,MACD_12_26_hist,0.05,-400.52981,29.68,347,80.106,99.47019,False
ETHUSDT,240,MACD_12_26_hist,0.08,-400.005232,30.86,337,80.001,99.994768,False
ETHUSDT,240,MACD_12_26_hist,0.12,-404.318944,31.66,338,80.8638,95.681056,False
ETHUSDT,240,MACD_RSI14_50,0.03,-400.615532,30.52,344,80.1231,99.384468,False
ETHUSDT,240,MACD_RSI14_50,0.05,-404.024092,32.9,307,80.8048,95.975908,False
ETHUSDT,240,MACD_RSI14_50,0.08,-406.532911,33.97,312,81.3066,93.467089,False
ETHUSDT,240,MACD_RSI14_50,0.12,-407.396419,34.64,306,81.4793,92.603581,False
ETHUSDT,240,BB_20_25_breakout,0.03,-89.047947,30.67,75,19.1327,410.952053,True
ETHUSDT,240,BB_20_25_breakout,0.05,-130.502946,32.0,75,27.2902,369.497054,True
ETHUSDT,240,BB_20_25_breakout,0.08,-141.875311,35.14,74,29.9686,358.124689,True
ETHUSDT,240,BB_20_25_breakout,0.12,-151.649456,36.99,73,31.8919,348.350544,True
ETHUSDT,240,BB_20_2_RSI14,0.03,-239.401532,25.73,171,48.939,260.598468,True
ETHUSDT,240,BB_20_2_RSI14,0.05,-283.933179,30.72,166,57.8117,216.066821,True
ETHUSDT,240,BB_20_2_RSI14,0.08,-257.964219,35.03,157,52.7411,242.035781,True
ETHUSDT,240,BB_20_2_RSI14,0.12,-279.606519,35.03,157,56.9669,220.393481,True
ETHUSDT,240,ADX14_DI_20,0.03,-400.124519,29.64,388,80.0249,99.875481,False
ETHUSDT,240,ADX14_DI_20,0.05,-400.530644,30.59,353,80.1276,99.469356,False
ETHUSDT,240,ADX14_DI_20,0.08,-404.298275,31.77,362,80.8597,95.701725,False
ETHUSDT,240,ADX14_DI_20,0.12,-402.237382,31.64,354,80.4475,97.762618,False
ETHUSDT,240,STOCH14_cross,0.03,-400.558937,24.02,562,80.1652,99.441063,False
ETHUSDT,240,STOCH14_cross,0.05,-400.211088,24.55,558,80.0958,99.788912,False
ETHUSDT,240,STOCH14_cross,0.08,-401.117771,24.33,559,80.2766,98.882229,False
ETHUSDT,240,STOCH14_cross,0.12,-401.302071,24.46,556,80.3134,98.697929,False
ETHUSDT,240,TS_13_34_200_14,0.03,-401.445213,32.14,308,80.9686,98.554787,False
ETHUSDT,240,TS_13_34_200_14,0.05,-385.255194,37.86,243,77.9643,114.744806,True
ETHUSDT,240,TS_13_34_200_14,0.08,-332.521923,42.33,189,68.0726,167.478077,True
ETHUSDT,240,TS_13_34_200_14,0.12,-309.986829,43.27,171,63.7766,190.013171,True
ETHUSDT,60,EMA_8_21,0.03,-400.61696,28.95,532,80.1302,99.38304,False
ETHUSDT,60,EMA_8_21,0.05,-401.894265,30.73,524,80.3856,98.105735,False
ETHUSDT,60,EMA_8_21,0.08,-400.308493,31.37,542,80.0686,99.691507,False
ETHUSDT,60,EMA_8_21,0.12,-400.001622,31.05,525,80.0338,99.998378,False
ETHUSDT,60,EMA_13_34_RSI14_55,0.03,-400.98594,36.73,471,80.2919,99.01406,False
