symbol,interval,strategy,activate_pct,trail_pct,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
DOGEUSDT,240,BB_20_25_breakout,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,64,-74.906779,-54.460049,20.446731,0.0,64,0,64,0.0,-74.906779,0.0,-1.170418,100.0,0.69,14,50,0,0,14.9958,425.093221,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,64,-63.338868,-43.817981,19.520887,19.67,61,12,49,26.081722,-89.420591,2.173477,-1.82491,45.6412,2.05,13,48,0,0,12.6826,436.661132,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,64,-82.66006,-62.820964,19.839095,19.35,62,12,50,13.874915,-96.534975,1.156243,-1.9307,62.5441,1.76,27,35,0,0,16.5462,417.33994,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,64,-83.500039,-63.660176,19.839863,19.35,62,12,50,13.034936,-96.534975,1.086245,-1.9307,63.9952,1.76,27,35,0,0,16.7142,416.499961,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,64,-70.458833,-51.250799,19.208034,23.33,60,14,46,29.88901,-100.347842,2.134929,-2.181475,50.5392,2.55,27,33,0,0,14.1064,429.541167,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,64,-80.110821,-61.222985,18.887836,30.51,59,18,41,43.971356,-124.082177,2.442853,-3.026395,55.3348,3.29,37,22,0,0,16.0365,419.889179,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,64,-80.652126,-61.765103,18.887023,30.51,59,18,41,43.430051,-124.082177,2.412781,-3.026395,55.6407,3.31,37,22,0,0,16.1447,419.347874,True,0.08
DOGEUSDT,240,BB_20_25_breakout,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,64,-76.711933,-57.820937,18.890996,30.51,59,18,41,47.370244,-124.082177,2.63168,-3.026395,53.4881,3.47,37,22,0,0,15.3568,423.288067,True,0.08
DOGEUSDT,240,ADX14_DI_20,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,244,-243.110775,-164.991781,78.118994,2.87,244,7,237,1.351275,-244.462051,0.193039,-1.031485,84.2356,0.9,39,175,30,0,48.6222,256.889225,True,0.09
DOGEUSDT,240,ADX14_DI_20,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,244,-259.395934,-182.558879,76.837055,5.42,240,13,227,7.436425,-266.832359,0.572033,-1.175473,67.2658,1.12,38,173,29,0,51.8792,240.604066,True,0.09
DOGEUSDT,240,ADX14_DI_20,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,244,-250.455231,-175.852359,74.602872,22.32,233,52,181,95.427949,-345.883181,1.835153,-1.910957,51.0118,3.06,36,151,46,0,50.4451,249.544769,True,0.09
DOGEUSDT,240,ADX14_DI_20,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,244,-311.055834,-234.569851,76.485983,20.92,239,50,189,56.280789,-367.336623,1.125616,-1.94358,63.3254,2.28,81,103,55,0,62.3727,188.944166,True,0.09
DOGEUSDT,240,ADX14_DI_20,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,244,-314.149929,-238.297705,75.852225,21.1,237,50,187,48.925901,-363.075831,0.978518,-1.941582,66.4903,2.41,80,103,54,0,63.0937,185.850071,True,0.09
