symbol,interval,strategy,min_agree,n_calls,n_calls_gated_out,n_trades_unfiltered,n_trades_filtered,train1_net_pnl_unfiltered,train1_net_pnl_filtered,win_rate_unfiltered,win_rate_filtered,n_neg_months_unfiltered,n_neg_months_filtered,full_run_max_drawdown_pct_filtered,promotion_pass_unfiltered,promotion_pass_filtered,promotion_pass_genuine_filtered,n_months_flipped_to_zero_trade
ETHUSDT,60,DONCHIAN_55,2,78,21,78,57,-14.108667,16.681266,29.49,33.33,7,8,7.3748,False,False,False,0
ETHUSDT,60,DONCHIAN_55,3,78,36,78,42,-14.108667,22.351969,29.49,35.71,7,8,5.6716,False,False,False,0
ETHUSDT,60,DONCHIAN_55,4,78,60,78,18,-14.108667,15.213011,29.49,33.33,7,7,4.6675,False,False,False,1
BTCUSDT,60,DONCHIAN_55,1,76,6,76,70,10.888091,11.805527,34.21,34.29,8,7,6.372,False,False,False,0
BTCUSDT,60,DONCHIAN_55,2,76,33,76,43,10.888091,27.350311,34.21,32.56,8,6,5.981,False,False,False,0
BTCUSDT,60,DONCHIAN_55,3,76,50,76,26,10.888091,3.026796,34.21,34.62,8,8,4.3097,False,False,False,0
BTCUSDT,60,DONCHIAN_55,4,76,62,76,14,10.888091,14.860248,34.21,42.86,8,6,3.3054,False,False,False,1
XRPUSDT,60,DONCHIAN_55,1,76,15,76,61,156.512601,159.856254,22.37,22.95,7,7,9.6378,False,False,False,0
XRPUSDT,60,DONCHIAN_55,2,76,26,76,50,156.512601,180.422336,22.37,26.0,7,7,9.1686,False,False,False,0
XRPUSDT,60,DONCHIAN_55,3,76,38,76,38,156.512601,178.644654,22.37,23.68,7,7,9.0132,False,False,False,0
XRPUSDT,60,DONCHIAN_55,4,76,49,76,27,156.512601,-29.991847,22.37,18.52,7,8,10.1877,False,False,False,0
DOGEUSDT,60,DONCHIAN_55,1,69,9,69,60,197.914664,83.435317,33.33,33.33,2,3,6.9238,False,False,False,0
DOGEUSDT,60,DONCHIAN_55,2,69,19,69,50,197.914664,43.257886,33.33,32.0,2,5,7.616,False,False,False,0
DOGEUSDT,60,DONCHIAN_55,3,69,38,69,31,197.914664,19.326476,33.33,29.03,2,6,6.753,False,False,False,0
DOGEUSDT,60,DONCHIAN_55,4,69,57,69,12,197.914664,8.657215,33.33,25.0,2,5,5.5056,False,False,False,0
SOLUSDT,60,BB_20_25_breakout,1,241,102,136,94,-83.01315,-6.441457,21.32,22.34,8,6,14.033,False,False,False,0
SOLUSDT,60,BB_20_25_breakout,2,241,138,136,72,-83.01315,28.96374,21.32,26.39,8,7,12.9756,False,False,False,0
SOLUSDT,60,BB_20_25_breakout,3,241,179,136,46,-83.01315,3.014805,21.32,30.43,8,5,7.9347,False,False,False,0
SOLUSDT,60,BB_20_25_breakout,4,241,213,136,24,-83.01315,-13.858602,21.32,25.0,8,8,7.0886,False,False,False,0
ETHUSDT,60,BB_20_25_breakout,1,292,97,111,97,70.89605,45.207636,37.84,36.08,3,5,9.7145,False,False,False,0
ETHUSDT,60,BB_20_25_breakout,2,292,163,111,75,70.89605,58.217975,37.84,40.0,3,3,7.601,False,False,False,0
ETHUSDT,60,BB_20_25_breakout,3,292,219,111,59,70.89605,-1.103694,37.84,30.51,3,7,7.5807,False,False,False,0
ETHUSDT,60,BB_20_25_breakout,4,292,264,111,25,70.89605,24.662618,37.84,28.0,3,7,5.4845,False,False,False,0
BTCUSDT,60,BB_20_25_breakout,1,288,103,134,109,-52.420319,-51.491184,29.85,30.28,7,8,15.9205,False,False,False,0
