group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,sum_wins,n_wins,sum_losses,n_losses,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
donchian,BTCUSDT,60,DONCHIAN_PULLBACK_20,none,0,0.03,139,-218.176652,-135.572403,82.604248,39.92,258,100,167.674575,103,-385.851226,155,26.43,100,108,49,1,44.5851,281.823348,True,0.57
donchian,BTCUSDT,60,DONCHIAN_PULLBACK_20,one_shot,0,0.03,139,-121.772662,-78.913878,42.858784,35.82,134,52,89.40951,48,-211.182172,86,31.78,52,49,33,0,25.9888,378.227338,True,0.62
donchian,BTCUSDT,60,DONCHIAN_PULLBACK_55,none,0,0.03,61,-170.001368,-101.463996,68.537372,47.2,214,94,153.340466,101,-323.341834,113,28.73,94,109,10,1,35.4325,329.998632,True,0.72
donchian,BTCUSDT,60,DONCHIAN_PULLBACK_55,one_shot,0,0.03,61,-13.414042,6.13802,19.552062,50.82,61,22,64.402166,31,-77.816209,30,41.8,22,33,5,1,4.0803,486.585958,True,0.57
harness_control,BTCUSDT,60,EMA_8_21,none,0,0.03,459,-400.288485,-189.25988,211.028605,28.07,659,59,259.848948,185,-660.137432,474,12.99,59,166,434,0,80.2905,99.711515,False,0.66
harness_control,BTCUSDT,60,EMA_8_21,one_shot,0,0.03,459,-223.835331,-76.940074,146.895257,27.02,459,15,191.241512,124,-415.076842,335,14.12,15,98,345,1,46.7775,276.164669,True,0.58
harness_control,BTCUSDT,60,BB_20_25_breakout,none,0,0.03,288,-151.823283,-86.172615,65.650669,40.49,205,58,133.134363,83,-284.957646,122,26.89,58,94,53,0,32.0932,348.176717,True,0.25
harness_control,BTCUSDT,60,BB_20_25_breakout,one_shot,0,0.03,288,-131.968202,-70.808302,61.1599,41.36,191,52,126.413755,79,-258.381957,112,27.32,52,89,50,0,28.7996,368.031798,True,0.24
donchian,XRPUSDT,240,DONCHIAN_20,none,0,0.03,45,-400.974079,-302.454022,98.520057,29.22,308,132,97.944237,90,-498.918316,218,4.64,132,163,13,0,80.3055,99.025921,False,0.11
donchian,XRPUSDT,240,DONCHIAN_20,one_shot,0,0.03,45,-40.397168,-25.976904,14.420264,28.89,45,12,16.679771,13,-57.076939,32,5.44,12,30,3,0,8.612,459.602832,True,0.1
donchian,XRPUSDT,240,DONCHIAN_55,none,0,0.03,24,-402.218746,-321.708467,80.510279,26.19,252,133,69.820079,66,-472.038825,186,4.56,133,116,3,0,80.5219,97.781254,False,0.11
donchian,XRPUSDT,240,DONCHIAN_55,one_shot,0,0.03,24,-31.758674,-24.082119,7.676555,29.17,24,11,7.601429,7,-39.360103,17,3.92,11,13,0,0,6.9059,468.241326,True,0.09
donchian,XRPUSDT,240,DONCHIAN_PULLBACK_20,none,0,0.03,32,-400.353279,-313.825669,86.52761,17.34,271,123,44.329667,47,-444.682946,224,2.99,123,148,0,0,80.2599,99.646721,False,0.1
donchian,XRPUSDT,240,DONCHIAN_PULLBACK_20,one_shot,0,0.03,32,-52.967654,-42.725685,10.24197,21.88,32,17,5.780943,7,-58.748597,25,6.75,17,15,0,0,11.4424,447.032346,True,0.08
donchian,XRPUSDT,240,DONCHIAN_PULLBACK_55,none,0,0.03,21,-400.232608,-324.924805,75.307803,22.46,236,130,54.817882,53,-455.05049,183,3.73,130,106,0,0,80.0553,99.767392,False,0.09
donchian,XRPUSDT,240,DONCHIAN_PULLBACK_55,one_shot,0,0.03,21,-23.840234,-17.133945,6.706289,38.1,21,9,8.409118,8,-32.249352,13,8.14,9,12,0,0,5.3797,476.159766,True,0.1
harness_control,XRPUSDT,240,EMA_8_21,none,0,0.03,121,-400.120743,-292.27902,107.841723,27.6,337,115,100.156255,93,-500.276998,244,3.99,115,153,69,0,80.0241,99.879257,False,0.13
harness_control,XRPUSDT,240,EMA_8_21,one_shot,0,0.03,121,-121.017639,-82.292599,38.72504,27.27,121,27,36.055625,33,-157.073264,88,4.7,27,55,39,0,24.2035,378.982361,True,0.1
harness_control,XRPUSDT,240,BB_20_25_breakout,none,0,0.03,74,-121.522803,-92.403473,29.11933,18.68,91,35,17.051939,17,-138.574742,74,3.91,35,54,2,0,25.1817,378.477197,True,0.1
harness_control,XRPUSDT,240,BB_20_25_breakout,one_shot,0,0.03,74,-90.080037,-67.034089,23.045949,22.22,72,27,16.714752,16,-106.794789,56,4.6,27,43,2,0,18.9551,409.919963,True,0.1
donchian,XRPUSDT,60,DONCHIAN_20,none,0,0.03,192,-400.38879,-298.023007,102.365783,31.25,320,122,136.207495,100,-536.596285,220,14.19,122,132,66,0,80.1652,99.61121,False,0.72
